<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
LKOH;D;20150112;00:00:00;2477.0000000;909067
LKOH;D;20150113;00:00:00;2522.0000000;1316755
LKOH;D;20150114;00:00:00;2588.0000000;764395
LKOH;D;20150115;00:00:00;2618.9000000;1285131
LKOH;D;20150116;00:00:00;2736.0000000;1096043
LKOH;D;20150119;00:00:00;2640.0000000;1694526
LKOH;D;20150120;00:00:00;2628.7000000;1060596
LKOH;D;20150121;00:00:00;2752.0000000;1123431
LKOH;D;20150122;00:00:00;2820.0000000;2055982
LKOH;D;20150123;00:00:00;2849.0000000;1630194
LKOH;D;20150126;00:00:00;2864.9000000;1420700
LKOH;D;20150127;00:00:00;2925.1000000;1159742
LKOH;D;20150128;00:00:00;2865.2000000;1318705
LKOH;D;20150129;00:00:00;2845.2000000;1306854
LKOH;D;20150130;00:00:00;2789.9000000;1205436
LKOH;D;20150202;00:00:00;2750.1000000;1675469
LKOH;D;20150203;00:00:00;2851.5000000;1241543
LKOH;D;20150204;00:00:00;2910.0000000;1258020
LKOH;D;20150205;00:00:00;2996.0000000;2085101
LKOH;D;20150206;00:00:00;3120.1000000;2153165
LKOH;D;20150209;00:00:00;3016.0000000;2681345
LKOH;D;20150210;00:00:00;3000.0000000;1268154
LKOH;D;20150211;00:00:00;3069.1000000;1419373
LKOH;D;20150212;00:00:00;3120.0000000;2335273
LKOH;D;20150213;00:00:00;3135.0000000;1042290
LKOH;D;20150216;00:00:00;3020.0000000;908960
LKOH;D;20150217;00:00:00;3010.0000000;1104724
LKOH;D;20150218;00:00:00;3000.0000000;1174234
LKOH;D;20150219;00:00:00;2994.8000000;1066866
LKOH;D;20150220;00:00:00;2990.0000000;773474
LKOH;D;20150224;00:00:00;3001.0000000;703843
LKOH;D;20150225;00:00:00;2933.4000000;1495880
LKOH;D;20150226;00:00:00;2935.0000000;1029460
LKOH;D;20150227;00:00:00;2981.2000000;1050170
LKOH;D;20150302;00:00:00;3027.2000000;932917
LKOH;D;20150303;00:00:00;3009.5000000;1156616
LKOH;D;20150304;00:00:00;2955.0000000;1053096
LKOH;D;20150305;00:00:00;2915.0000000;1137433
LKOH;D;20150306;00:00:00;2800.0000000;1006194
LKOH;D;20150310;00:00:00;2699.0000000;1565646
LKOH;D;20150311;00:00:00;2726.9000000;1278048
LKOH;D;20150312;00:00:00;2733.9000000;892010
LKOH;D;20150313;00:00:00;2659.0000000;1164264
LKOH;D;20150316;00:00:00;2666.0000000;1597032
LKOH;D;20150317;00:00:00;2689.0000000;1098553
LKOH;D;20150318;00:00:00;2735.0000000;932976
LKOH;D;20150319;00:00:00;2689.8000000;1188094
LKOH;D;20150320;00:00:00;2710.0000000;1497304
LKOH;D;20150323;00:00:00;2679.9000000;906562
LKOH;D;20150324;00:00:00;2709.7000000;818707
LKOH;D;20150325;00:00:00;2697.3000000;1220040
LKOH;D;20150326;00:00:00;2623.0000000;1586623
LKOH;D;20150327;00:00:00;2577.0000000;706770
LKOH;D;20150330;00:00:00;2657.0000000;576627
LKOH;D;20150331;00:00:00;2705.0000000;827977
LKOH;D;20150401;00:00:00;2755.0000000;1136254
LKOH;D;20150402;00:00:00;2780.5000000;898975
LKOH;D;20150403;00:00:00;2824.8000000;446554
LKOH;D;20150406;00:00:00;2823.3000000;633584
LKOH;D;20150407;00:00:00;2790.0000000;1368895
LKOH;D;20150408;00:00:00;2755.0000000;813188
LKOH;D;20150409;00:00:00;2707.8000000;1398265
LKOH;D;20150410;00:00:00;2634.9000000;1465078
LKOH;D;20150413;00:00:00;2617.0000000;1241850
LKOH;D;20150414;00:00:00;2559.0000000;1306568
LKOH;D;20150415;00:00:00;2595.0000000;1090943
LKOH;D;20150416;00:00:00;2580.0000000;1373506
LKOH;D;20150417;00:00:00;2576.0000000;1516105
LKOH;D;20150420;00:00:00;2670.0000000;1390623
LKOH;D;20150421;00:00:00;2728.2000000;1057060
LKOH;D;20150422;00:00:00;2639.5000000;1163013
LKOH;D;20150423;00:00:00;2592.0000000;1527774
LKOH;D;20150424;00:00:00;2645.0000000;1199156
LKOH;D;20150427;00:00:00;2662.0000000;874382
LKOH;D;20150428;00:00:00;2644.9000000;1049716
LKOH;D;20150429;00:00:00;2610.0000000;951911
LKOH;D;20150430;00:00:00;2645.6000000;808454
LKOH;D;20150505;00:00:00;2655.0000000;1395329
LKOH;D;20150506;00:00:00;2660.0000000;794523
LKOH;D;20150507;00:00:00;2650.5000000;950311
LKOH;D;20150508;00:00:00;2691.6000000;666622
LKOH;D;20150512;00:00:00;2698.6000000;859862
LKOH;D;20150513;00:00:00;2620.0000000;1263430
LKOH;D;20150514;00:00:00;2610.1000000;698193
LKOH;D;20150515;00:00:00;2595.0000000;679459
LKOH;D;20150518;00:00:00;2550.0000000;671473
LKOH;D;20150519;00:00:00;2530.0000000;919467
LKOH;D;20150520;00:00:00;2481.1000000;897180
LKOH;D;20150521;00:00:00;2523.0000000;921926
LKOH;D;20150522;00:00:00;2537.0000000;636883
LKOH;D;20150525;00:00:00;2502.2000000;457907
LKOH;D;20150526;00:00:00;2508.0000000;607072
LKOH;D;20150527;00:00:00;2541.8000000;1108246
LKOH;D;20150528;00:00:00;2563.8000000;1004321
LKOH;D;20150529;00:00:00;2461.3000000;1627894
LKOH;D;20150601;00:00:00;2447.5000000;1019377
LKOH;D;20150602;00:00:00;2515.0000000;1126891
LKOH;D;20150603;00:00:00;2480.3000000;1133022
LKOH;D;20150604;00:00:00;2525.0000000;1216216
LKOH;D;20150605;00:00:00;2570.0000000;876960
LKOH;D;20150608;00:00:00;2551.9000000;860759
LKOH;D;20150609;00:00:00;2606.0000000;904699
LKOH;D;20150610;00:00:00;2551.3000000;1089841
LKOH;D;20150611;00:00:00;2506.9000000;1092311
LKOH;D;20150615;00:00:00;2481.7000000;1529466
LKOH;D;20150616;00:00:00;2500.3000000;875395
LKOH;D;20150617;00:00:00;2475.0000000;753542
LKOH;D;20150618;00:00:00;2476.0000000;657562
LKOH;D;20150619;00:00:00;2474.4000000;717365
LKOH;D;20150622;00:00:00;2487.0000000;578051
LKOH;D;20150623;00:00:00;2469.0000000;564286
LKOH;D;20150624;00:00:00;2445.0000000;833715
LKOH;D;20150625;00:00:00;2406.0000000;642689
LKOH;D;20150626;00:00:00;2401.7000000;766488
LKOH;D;20150629;00:00:00;2408.0000000;602604
LKOH;D;20150630;00:00:00;2469.9000000;1225856
LKOH;D;20150701;00:00:00;2429.2000000;686587
LKOH;D;20150702;00:00:00;2455.0000000;432029
LKOH;D;20150703;00:00:00;2425.3000000;417291
LKOH;D;20150706;00:00:00;2460.0000000;568718
LKOH;D;20150707;00:00:00;2465.0000000;1051353
LKOH;D;20150708;00:00:00;2470.0000000;829656
LKOH;D;20150709;00:00:00;2484.6000000;1029555
LKOH;D;20150710;00:00:00;2465.0000000;939691
LKOH;D;20150713;00:00:00;2435.6000000;958370
LKOH;D;20150714;00:00:00;2421.9000000;1043967
LKOH;D;20150715;00:00:00;2460.0000000;972849
LKOH;D;20150716;00:00:00;2461.6000000;545911
LKOH;D;20150717;00:00:00;2465.4000000;752022
LKOH;D;20150720;00:00:00;2428.2000000;587939
LKOH;D;20150721;00:00:00;2442.0000000;746905
LKOH;D;20150722;00:00:00;2465.0000000;908463
LKOH;D;20150723;00:00:00;2462.5000000;603431
LKOH;D;20150724;00:00:00;2468.9000000;795964
LKOH;D;20150727;00:00:00;2398.9000000;1220708
LKOH;D;20150728;00:00:00;2433.4000000;1268933
LKOH;D;20150729;00:00:00;2430.9000000;840700
LKOH;D;20150730;00:00:00;2441.0000000;647296
LKOH;D;20150731;00:00:00;2537.6000000;1296060
LKOH;D;20150803;00:00:00;2509.1000000;1138813
LKOH;D;20150804;00:00:00;2507.4000000;1203270
LKOH;D;20150805;00:00:00;2529.0000000;1003119
LKOH;D;20150806;00:00:00;2491.6000000;1124719
LKOH;D;20150807;00:00:00;2520.0000000;718841
LKOH;D;20150810;00:00:00;2531.0000000;809884
LKOH;D;20150811;00:00:00;2519.7000000;989664
LKOH;D;20150812;00:00:00;2539.5000000;942425
LKOH;D;20150813;00:00:00;2548.2000000;1135727
LKOH;D;20150814;00:00:00;2561.1000000;1165364
LKOH;D;20150817;00:00:00;2554.9000000;820761
LKOH;D;20150818;00:00:00;2491.0000000;905108
LKOH;D;20150819;00:00:00;2468.5000000;1192286
LKOH;D;20150820;00:00:00;2487.1000000;1170828
LKOH;D;20150821;00:00:00;2412.0000000;1017165
LKOH;D;20150824;00:00:00;2347.0000000;2256503
LKOH;D;20150825;00:00:00;2381.0000000;1356389
LKOH;D;20150826;00:00:00;2355.0000000;1265445
LKOH;D;20150827;00:00:00;2424.0000000;1395438
LKOH;D;20150828;00:00:00;2520.0000000;2223656
LKOH;D;20150831;00:00:00;2531.0000000;1037927
LKOH;D;20150901;00:00:00;2455.0000000;1453568
LKOH;D;20150902;00:00:00;2440.0000000;1116506
LKOH;D;20150903;00:00:00;2503.0000000;1092796
LKOH;D;20150904;00:00:00;2458.0000000;841383
LKOH;D;20150907;00:00:00;2446.7000000;413350
LKOH;D;20150908;00:00:00;2462.1000000;777254
LKOH;D;20150909;00:00:00;2501.2000000;885000
LKOH;D;20150910;00:00:00;2489.0000000;857704
LKOH;D;20150911;00:00:00;2487.6000000;532584
LKOH;D;20150914;00:00:00;2524.5000000;899495
LKOH;D;20150915;00:00:00;2478.1000000;975824
LKOH;D;20150916;00:00:00;2475.0000000;793893
LKOH;D;20150917;00:00:00;2439.0000000;843916
LKOH;D;20150918;00:00:00;2403.8000000;1298201
LKOH;D;20150921;00:00:00;2331.1000000;2197617
LKOH;D;20150922;00:00:00;2225.9000000;2795587
LKOH;D;20150923;00:00:00;2203.0000000;1880967
LKOH;D;20150924;00:00:00;2185.0000000;2543833
LKOH;D;20150925;00:00:00;2240.0000000;1354909
LKOH;D;20150928;00:00:00;2241.9000000;1685737
LKOH;D;20150929;00:00:00;2261.0000000;1272254
LKOH;D;20150930;00:00:00;2242.9000000;1484463
LKOH;D;20151001;00:00:00;2184.0000000;1787695
LKOH;D;20151002;00:00:00;2140.0000000;1648780
LKOH;D;20151005;00:00:00;2196.0000000;1608286
LKOH;D;20151006;00:00:00;2238.0000000;1407105
LKOH;D;20151007;00:00:00;2279.0000000;1952685
LKOH;D;20151008;00:00:00;2294.0000000;1782757
LKOH;D;20151009;00:00:00;2400.1000000;3489552
LKOH;D;20151012;00:00:00;2340.2000000;1699883
LKOH;D;20151013;00:00:00;2350.0000000;1238548
LKOH;D;20151014;00:00:00;2341.0000000;1267210
LKOH;D;20151015;00:00:00;2320.0000000;1032657
LKOH;D;20151016;00:00:00;2303.8000000;1217664
LKOH;D;20151019;00:00:00;2315.0000000;856274
LKOH;D;20151020;00:00:00;2332.9000000;853332
LKOH;D;20151021;00:00:00;2310.9000000;881921
LKOH;D;20151022;00:00:00;2334.5000000;793081
LKOH;D;20151023;00:00:00;2336.7000000;1469251
LKOH;D;20151026;00:00:00;2298.0000000;1190845
