<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
POLY;D;20150112;00:00:00;550.0000000;14662
POLY;D;20150113;00:00:00;562.0000000;13884
POLY;D;20150114;00:00:00;559.0000000;21736
POLY;D;20150115;00:00:00;593.0000000;20752
POLY;D;20150116;00:00:00;588.5000000;30660
POLY;D;20150119;00:00:00;586.5000000;46708
POLY;D;20150120;00:00:00;596.5000000;32169
POLY;D;20150121;00:00:00;602.0000000;29428
POLY;D;20150122;00:00:00;596.0000000;21404
POLY;D;20150123;00:00:00;587.0000000;21084
POLY;D;20150126;00:00:00;610.0000000;15363
POLY;D;20150127;00:00:00;602.0000000;30072
POLY;D;20150128;00:00:00;609.0000000;14465
POLY;D;20150129;00:00:00;619.5000000;42021
POLY;D;20150130;00:00:00;638.0000000;16440
POLY;D;20150202;00:00:00;622.5000000;66209
POLY;D;20150203;00:00:00;600.0000000;17043
POLY;D;20150204;00:00:00;614.0000000;19616
POLY;D;20150205;00:00:00;606.5000000;16542
POLY;D;20150206;00:00:00;619.0000000;58839
POLY;D;20150209;00:00:00;614.0000000;112277
POLY;D;20150210;00:00:00;609.0000000;59291
POLY;D;20150211;00:00:00;604.0000000;62009
POLY;D;20150212;00:00:00;601.0000000;74353
POLY;D;20150213;00:00:00;583.0000000;26072
POLY;D;20150216;00:00:00;582.0000000;22900
POLY;D;20150217;00:00:00;576.0000000;5326
POLY;D;20150218;00:00:00;561.5000000;25564
POLY;D;20150219;00:00:00;566.0000000;23246
POLY;D;20150220;00:00:00;570.0000000;13734
POLY;D;20150224;00:00:00;557.5000000;21868
POLY;D;20150225;00:00:00;551.5000000;26210
POLY;D;20150226;00:00:00;533.5000000;9171
POLY;D;20150227;00:00:00;541.5000000;3354
POLY;D;20150302;00:00:00;539.5000000;6888
POLY;D;20150303;00:00:00;541.0000000;34143
POLY;D;20150304;00:00:00;518.5000000;15862
POLY;D;20150305;00:00:00;516.0000000;59012
POLY;D;20150306;00:00:00;497.0000000;19099
POLY;D;20150310;00:00:00;488.0000000;32364
POLY;D;20150311;00:00:00;473.5000000;34271
POLY;D;20150312;00:00:00;491.5000000;7391
POLY;D;20150313;00:00:00;470.0000000;11844
POLY;D;20150316;00:00:00;477.0000000;38312
POLY;D;20150317;00:00:00;470.0000000;22265
POLY;D;20150318;00:00:00;464.0000000;23837
POLY;D;20150319;00:00:00;472.0000000;13408
POLY;D;20150320;00:00:00;484.0000000;11662
POLY;D;20150323;00:00:00;483.5000000;16320
POLY;D;20150324;00:00:00;476.0000000;10993
POLY;D;20150325;00:00:00;492.5000000;18603
POLY;D;20150326;00:00:00;488.5000000;13926
POLY;D;20150327;00:00:00;480.5000000;16222
POLY;D;20150330;00:00:00;486.5000000;13317
POLY;D;20150331;00:00:00;498.0000000;20486
POLY;D;20150401;00:00:00;490.0000000;11229
POLY;D;20150402;00:00:00;480.0000000;16054
POLY;D;20150403;00:00:00;484.0000000;3783
POLY;D;20150406;00:00:00;481.5000000;4788
POLY;D;20150407;00:00:00;476.0000000;13704
POLY;D;20150408;00:00:00;467.0000000;12185
POLY;D;20150409;00:00:00;449.0000000;20984
POLY;D;20150410;00:00:00;441.0000000;28090
POLY;D;20150413;00:00:00;443.0000000;70284
POLY;D;20150414;00:00:00;439.0000000;29181
POLY;D;20150415;00:00:00;445.0000000;61272
POLY;D;20150416;00:00:00;431.0000000;56200
POLY;D;20150417;00:00:00;443.5000000;57506
POLY;D;20150420;00:00:00;430.5000000;34895
POLY;D;20150421;00:00:00;437.5000000;14279
POLY;D;20150422;00:00:00;430.5000000;16744
