<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
VTBR;D;20150112;00:00:00;0.0635300;20662390000
VTBR;D;20150113;00:00:00;0.0605000;20131570000
VTBR;D;20150114;00:00:00;0.0601000;21325990000
VTBR;D;20150115;00:00:00;0.0627300;37942450000
VTBR;D;20150116;00:00:00;0.0652200;27031910000
VTBR;D;20150119;00:00:00;0.0640100;26053070000
VTBR;D;20150120;00:00:00;0.0621000;28513300000
VTBR;D;20150121;00:00:00;0.0635000;21430000000
VTBR;D;20150122;00:00:00;0.0636200;28010140000
VTBR;D;20150123;00:00:00;0.0638000;20200870000
VTBR;D;20150126;00:00:00;0.0626000;20510680000
VTBR;D;20150127;00:00:00;0.0636400;18909020000
VTBR;D;20150128;00:00:00;0.0671800;38975130000
VTBR;D;20150129;00:00:00;0.0665000;42584470000
VTBR;D;20150130;00:00:00;0.0689400;36238170000
VTBR;D;20150202;00:00:00;0.0669600;17039500000
VTBR;D;20150203;00:00:00;0.0677000;15960850000
VTBR;D;20150204;00:00:00;0.0668900;9545860000
VTBR;D;20150205;00:00:00;0.0678600;21560920000
VTBR;D;20150206;00:00:00;0.0682600;21960330000
VTBR;D;20150209;00:00:00;0.0680000;26472200000
VTBR;D;20150210;00:00:00;0.0682100;10990940000
VTBR;D;20150211;00:00:00;0.0690500;16830610000
VTBR;D;20150212;00:00:00;0.0690000;33235220000
VTBR;D;20150213;00:00:00;0.0694000;23486950000
VTBR;D;20150216;00:00:00;0.0672500;17904940000
VTBR;D;20150217;00:00:00;0.0670900;27616580000
VTBR;D;20150218;00:00:00;0.0668400;17734800000
VTBR;D;20150219;00:00:00;0.0669600;23918380000
VTBR;D;20150220;00:00:00;0.0666000;14549130000
VTBR;D;20150224;00:00:00;0.0645100;17157540000
VTBR;D;20150225;00:00:00;0.0667000;28982780000
VTBR;D;20150226;00:00:00;0.0701000;56276630000
VTBR;D;20150227;00:00:00;0.0680000;34261600000
VTBR;D;20150302;00:00:00;0.0681000;11050370000
VTBR;D;20150303;00:00:00;0.0695100;19319380000
