<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
DSKY;D;20170210;00:00:00;85.0000000;500
DSKY;D;20170213;00:00:00;85.2000000;2282830
DSKY;D;20170214;00:00:00;85.0000000;2533260
DSKY;D;20170215;00:00:00;85.0000000;379130
DSKY;D;20170216;00:00:00;84.9900000;2647260
DSKY;D;20170217;00:00:00;84.9000000;630210
DSKY;D;20170220;00:00:00;84.8500000;117420
DSKY;D;20170221;00:00:00;84.8000000;216570
DSKY;D;20170222;00:00:00;84.7500000;626430
DSKY;D;20170224;00:00:00;84.7000000;109270
DSKY;D;20170227;00:00:00;84.4800000;814270
DSKY;D;20170228;00:00:00;84.9300000;6744530
DSKY;D;20170301;00:00:00;84.4200000;44400
DSKY;D;20170302;00:00:00;83.8500000;375610
DSKY;D;20170303;00:00:00;82.8200000;260150
DSKY;D;20170306;00:00:00;82.9800000;805580
DSKY;D;20170307;00:00:00;84.7500000;2274440
DSKY;D;20170309;00:00:00;84.6000000;1546990
DSKY;D;20170310;00:00:00;82.0700000;92400
DSKY;D;20170313;00:00:00;81.5000000;320800
DSKY;D;20170314;00:00:00;81.1400000;17350
DSKY;D;20170315;00:00:00;80.0100000;51190
DSKY;D;20170316;00:00:00;77.6900000;570540
DSKY;D;20170317;00:00:00;76.2000000;1295970
DSKY;D;20170320;00:00:00;75.0100000;1025970
DSKY;D;20170321;00:00:00;79.0000000;376030
DSKY;D;20170322;00:00:00;80.4100000;174350
DSKY;D;20170323;00:00:00;81.3000000;488860
DSKY;D;20170324;00:00:00;82.4100000;319950
DSKY;D;20170327;00:00:00;85.5300000;646820
DSKY;D;20170328;00:00:00;85.1000000;198930
DSKY;D;20170329;00:00:00;85.2000000;91060
DSKY;D;20170330;00:00:00;87.5000000;251800
DSKY;D;20170331;00:00:00;88.0000000;170570
DSKY;D;20170403;00:00:00;88.2400000;147060
DSKY;D;20170404;00:00:00;89.0000000;27460
DSKY;D;20170405;00:00:00;89.9900000;21940
DSKY;D;20170406;00:00:00;92.0000000;531630
DSKY;D;20170407;00:00:00;89.6100000;441400
DSKY;D;20170410;00:00:00;84.5700000;301240
DSKY;D;20170411;00:00:00;87.5600000;59650
DSKY;D;20170412;00:00:00;87.0300000;90920
DSKY;D;20170413;00:00:00;88.9000000;185550
DSKY;D;20170414;00:00:00;89.6800000;92410
DSKY;D;20170417;00:00:00;89.9000000;57560
DSKY;D;20170418;00:00:00;90.0100000;71190
DSKY;D;20170419;00:00:00;90.0000000;454600
DSKY;D;20170420;00:00:00;89.0000000;26440
DSKY;D;20170421;00:00:00;90.4800000;207880
DSKY;D;20170424;00:00:00;90.0000000;43210
DSKY;D;20170425;00:00:00;90.5000000;232200
DSKY;D;20170426;00:00:00;89.9000000;183090
DSKY;D;20170427;00:00:00;90.0000000;139900
DSKY;D;20170428;00:00:00;90.4700000;209060
DSKY;D;20170502;00:00:00;92.0000000;138390
DSKY;D;20170503;00:00:00;85.5300000;636040
DSKY;D;20170504;00:00:00;87.6000000;288600
DSKY;D;20170505;00:00:00;88.6500000;571370
DSKY;D;20170510;00:00:00;88.5500000;129960
DSKY;D;20170511;00:00:00;89.0000000;229530
DSKY;D;20170512;00:00:00;89.1900000;38380
DSKY;D;20170515;00:00:00;89.0100000;7630
DSKY;D;20170516;00:00:00;91.4100000;383350
DSKY;D;20170517;00:00:00;91.6000000;121760
DSKY;D;20170518;00:00:00;91.4100000;170030
DSKY;D;20170519;00:00:00;91.5500000;168970
DSKY;D;20170522;00:00:00;92.0000000;42670
DSKY;D;20170523;00:00:00;92.0000000;76190
DSKY;D;20170524;00:00:00;91.4100000;10130
DSKY;D;20170525;00:00:00;91.9900000;50370
DSKY;D;20170526;00:00:00;91.0800000;96380
DSKY;D;20170529;00:00:00;91.0400000;99730
DSKY;D;20170530;00:00:00;93.4900000;247480
DSKY;D;20170531;00:00:00;92.3900000;1316730
DSKY;D;20170601;00:00:00;95.3900000;395120
DSKY;D;20170602;00:00:00;97.3000000;218600
DSKY;D;20170605;00:00:00;96.5000000;160320
DSKY;D;20170606;00:00:00;95.6000000;87720
DSKY;D;20170607;00:00:00;95.8000000;429900
DSKY;D;20170608;00:00:00;96.2000000;617880
DSKY;D;20170609;00:00:00;100.4500000;267560
DSKY;D;20170613;00:00:00;101.0000000;287070
DSKY;D;20170614;00:00:00;103.0000000;552890
DSKY;D;20170615;00:00:00;101.0000000;654360
DSKY;D;20170616;00:00:00;99.9900000;5114950
DSKY;D;20170619;00:00:00;100.9800000;126530
DSKY;D;20170620;00:00:00;98.4800000;73230
DSKY;D;20170621;00:00:00;102.0000000;406140
DSKY;D;20170622;00:00:00;99.6500000;11090
DSKY;D;20170623;00:00:00;98.9500000;93390
DSKY;D;20170626;00:00:00;98.9900000;228020
DSKY;D;20170627;00:00:00;96.7500000;253900
DSKY;D;20170628;00:00:00;97.8800000;161660
DSKY;D;20170629;00:00:00;94.0100000;218890
DSKY;D;20170630;00:00:00;93.9900000;70950
DSKY;D;20170703;00:00:00;93.7100000;45440
DSKY;D;20170704;00:00:00;92.0000000;231240
DSKY;D;20170705;00:00:00;89.4000000;121900
DSKY;D;20170706;00:00:00;90.9000000;207360
DSKY;D;20170707;00:00:00;92.0000000;190700
DSKY;D;20170710;00:00:00;93.3500000;42650
DSKY;D;20170711;00:00:00;91.7700000;46900
DSKY;D;20170712;00:00:00;91.7000000;70200
DSKY;D;20170713;00:00:00;91.8000000;53090
DSKY;D;20170714;00:00:00;90.0000000;245210
DSKY;D;20170717;00:00:00;89.1000000;12980
DSKY;D;20170718;00:00:00;86.8800000;54510
DSKY;D;20170719;00:00:00;88.1600000;86070
DSKY;D;20170720;00:00:00;89.9800000;76350
DSKY;D;20170721;00:00:00;88.9400000;79160
DSKY;D;20170724;00:00:00;89.8000000;161750
DSKY;D;20170725;00:00:00;88.8700000;166520
DSKY;D;20170726;00:00:00;88.8600000;516600
DSKY;D;20170727;00:00:00;90.9800000;101280
DSKY;D;20170728;00:00:00;89.9700000;79620
DSKY;D;20170731;00:00:00;90.5000000;192080
DSKY;D;20170801;00:00:00;91.2500000;54930
DSKY;D;20170802;00:00:00;91.3000000;40360
DSKY;D;20170803;00:00:00;91.3000000;31850
DSKY;D;20170804;00:00:00;91.3000000;30540
DSKY;D;20170807;00:00:00;91.2000000;16340
DSKY;D;20170808;00:00:00;91.2000000;40850
DSKY;D;20170809;00:00:00;92.0000000;46250
DSKY;D;20170810;00:00:00;91.7000000;46010
DSKY;D;20170811;00:00:00;91.1500000;185820
DSKY;D;20170814;00:00:00;92.9500000;251180
DSKY;D;20170815;00:00:00;92.2500000;72540
DSKY;D;20170816;00:00:00;90.8000000;2225490
DSKY;D;20170817;00:00:00;91.6500000;305020
