<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
FIVE;D;20180201;00:00:00;2110.0000000;179814
FIVE;D;20180202;00:00:00;2052.0000000;129059
FIVE;D;20180205;00:00:00;2089.5000000;67255
FIVE;D;20180206;00:00:00;2070.0000000;60383
FIVE;D;20180207;00:00:00;2090.0000000;22646
FIVE;D;20180208;00:00:00;2134.0000000;32091
FIVE;D;20180209;00:00:00;2046.0000000;28684
FIVE;D;20180212;00:00:00;2100.5000000;11486
FIVE;D;20180213;00:00:00;2140.0000000;27524
FIVE;D;20180214;00:00:00;2150.5000000;28266
FIVE;D;20180215;00:00:00;2144.0000000;22475
FIVE;D;20180216;00:00:00;2130.0000000;55935
FIVE;D;20180219;00:00:00;2079.5000000;41099
FIVE;D;20180220;00:00:00;1979.5000000;83633
FIVE;D;20180221;00:00:00;1958.0000000;44031
FIVE;D;20180222;00:00:00;1996.5000000;52053
FIVE;D;20180226;00:00:00;2017.0000000;13739
FIVE;D;20180227;00:00:00;2017.0000000;3936
FIVE;D;20180228;00:00:00;2015.0000000;13954
FIVE;D;20180301;00:00:00;2040.0000000;56623
FIVE;D;20180302;00:00:00;2000.5000000;93970
FIVE;D;20180305;00:00:00;2016.0000000;41937
FIVE;D;20180306;00:00:00;1943.5000000;140870
FIVE;D;20180307;00:00:00;1946.5000000;155042
FIVE;D;20180309;00:00:00;1955.5000000;102546
FIVE;D;20180312;00:00:00;1960.5000000;84376
FIVE;D;20180313;00:00:00;1910.0000000;122430
FIVE;D;20180314;00:00:00;1885.5000000;112525
FIVE;D;20180315;00:00:00;1965.0000000;165847
FIVE;D;20180316;00:00:00;1965.0000000;126067
FIVE;D;20180319;00:00:00;1915.0000000;102828
FIVE;D;20180320;00:00:00;1891.0000000;118732
FIVE;D;20180321;00:00:00;1920.0000000;165880
FIVE;D;20180322;00:00:00;1875.0000000;128708
FIVE;D;20180323;00:00:00;1858.0000000;153512
FIVE;D;20180326;00:00:00;1811.0000000;113558
FIVE;D;20180327;00:00:00;1846.5000000;86284
FIVE;D;20180328;00:00:00;1838.5000000;88536
FIVE;D;20180329;00:00:00;1932.0000000;337681
FIVE;D;20180330;00:00:00;1932.0000000;50394
FIVE;D;20180402;00:00:00;1949.5000000;30725
FIVE;D;20180403;00:00:00;1948.0000000;130619
FIVE;D;20180404;00:00:00;1959.0000000;81699
FIVE;D;20180405;00:00:00;2050.0000000;152747
FIVE;D;20180406;00:00:00;2025.0000000;98541
FIVE;D;20180409;00:00:00;1892.5000000;341118
FIVE;D;20180410;00:00:00;1925.0000000;233735
FIVE;D;20180411;00:00:00;1875.0000000;192975
FIVE;D;20180412;00:00:00;1913.5000000;194146
FIVE;D;20180413;00:00:00;1901.0000000;109130
FIVE;D;20180416;00:00:00;1930.0000000;96051
FIVE;D;20180417;00:00:00;1969.0000000;174542
FIVE;D;20180418;00:00:00;2055.0000000;142666
FIVE;D;20180419;00:00:00;1974.0000000;108519
FIVE;D;20180420;00:00:00;1974.5000000;79574
FIVE;D;20180423;00:00:00;1940.0000000;178232
FIVE;D;20180424;00:00:00;1906.5000000;111331
FIVE;D;20180425;00:00:00;1800.0000000;432584
FIVE;D;20180426;00:00:00;1740.0000000;769632
FIVE;D;20180427;00:00:00;1800.0000000;185315
FIVE;D;20180428;00:00:00;1803.5000000;21616
FIVE;D;20180430;00:00:00;1795.5000000;52230
FIVE;D;20180502;00:00:00;1815.0000000;74041
FIVE;D;20180503;00:00:00;1801.0000000;59101
FIVE;D;20180504;00:00:00;1835.0000000;59933
FIVE;D;20180507;00:00:00;1856.5000000;86890
FIVE;D;20180508;00:00:00;1845.0000000;196097
FIVE;D;20180510;00:00:00;1802.0000000;182541
FIVE;D;20180511;00:00:00;1799.5000000;239002
FIVE;D;20180514;00:00:00;1854.0000000;251548
FIVE;D;20180515;00:00:00;1911.0000000;995288
FIVE;D;20180516;00:00:00;1917.5000000;550593
FIVE;D;20180517;00:00:00;1925.0000000;492665
FIVE;D;20180518;00:00:00;1880.0000000;537810
FIVE;D;20180521;00:00:00;1864.5000000;583010
FIVE;D;20180522;00:00:00;1844.0000000;420389
FIVE;D;20180523;00:00:00;1871.5000000;432943
FIVE;D;20180524;00:00:00;1813.0000000;537274
FIVE;D;20180525;00:00:00;1844.5000000;586328
FIVE;D;20180528;00:00:00;1915.0000000;659206
FIVE;D;20180529;00:00:00;1840.0000000;1271097
FIVE;D;20180530;00:00:00;1785.0000000;1360197
FIVE;D;20180531;00:00:00;1808.0000000;7111050
FIVE;D;20180601;00:00:00;1748.0000000;533742
FIVE;D;20180604;00:00:00;1771.0000000;304580
FIVE;D;20180605;00:00:00;1770.0000000;142356
FIVE;D;20180606;00:00:00;1758.5000000;836347
FIVE;D;20180607;00:00:00;1743.5000000;289373
FIVE;D;20180608;00:00:00;1675.0000000;393215
FIVE;D;20180609;00:00:00;1683.5000000;10007
FIVE;D;20180611;00:00:00;1675.5000000;120447
FIVE;D;20180613;00:00:00;1650.5000000;178397
FIVE;D;20180614;00:00:00;1645.5000000;128100
FIVE;D;20180615;00:00:00;1627.5000000;220635
FIVE;D;20180618;00:00:00;1645.0000000;193229
FIVE;D;20180619;00:00:00;1682.0000000;165691
FIVE;D;20180620;00:00:00;1730.0000000;179135
FIVE;D;20180621;00:00:00;1770.0000000;184252
FIVE;D;20180622;00:00:00;1729.0000000;155551
FIVE;D;20180625;00:00:00;1766.5000000;156696
FIVE;D;20180626;00:00:00;1743.0000000;101417
FIVE;D;20180627;00:00:00;1690.0000000;234185
FIVE;D;20180628;00:00:00;1673.5000000;119866
FIVE;D;20180629;00:00:00;1727.0000000;186346
FIVE;D;20180702;00:00:00;1687.0000000;100998
FIVE;D;20180703;00:00:00;1617.5000000;201116
FIVE;D;20180704;00:00:00;1645.5000000;155889
FIVE;D;20180705;00:00:00;1700.0000000;171196
FIVE;D;20180706;00:00:00;1685.0000000;105521
FIVE;D;20180709;00:00:00;1751.5000000;239826
FIVE;D;20180710;00:00:00;1780.0000000;118244
FIVE;D;20180711;00:00:00;1715.5000000;100962
FIVE;D;20180712;00:00:00;1721.0000000;61253
FIVE;D;20180713;00:00:00;1758.0000000;71336
FIVE;D;20180716;00:00:00;1760.0000000;84273
FIVE;D;20180717;00:00:00;1767.0000000;126502
FIVE;D;20180718;00:00:00;1840.0000000;398320
FIVE;D;20180719;00:00:00;1768.0000000;263530
FIVE;D;20180720;00:00:00;1691.5000000;127797
FIVE;D;20180723;00:00:00;1738.0000000;75245
FIVE;D;20180724;00:00:00;1734.0000000;71611
FIVE;D;20180725;00:00:00;1720.0000000;72247
FIVE;D;20180726;00:00:00;1758.5000000;106807
FIVE;D;20180727;00:00:00;1727.5000000;63737
FIVE;D;20180730;00:00:00;1728.0000000;78152
FIVE;D;20180731;00:00:00;1680.0000000;113468
FIVE;D;20180801;00:00:00;1731.0000000;89514
FIVE;D;20180802;00:00:00;1700.0000000;47919
FIVE;D;20180803;00:00:00;1682.5000000;116340
FIVE;D;20180806;00:00:00;1707.0000000;64677
FIVE;D;20180807;00:00:00;1710.0000000;76686
FIVE;D;20180808;00:00:00;1719.0000000;116952
FIVE;D;20180809;00:00:00;1672.0000000;182819
FIVE;D;20180810;00:00:00;1617.0000000;194131
FIVE;D;20180813;00:00:00;1624.0000000;345761
FIVE;D;20180814;00:00:00;1583.0000000;336319
FIVE;D;20180815;00:00:00;1577.0000000;226625
FIVE;D;20180816;00:00:00;1540.5000000;166134
FIVE;D;20180817;00:00:00;1571.0000000;151964
FIVE;D;20180820;00:00:00;1590.5000000;59048
FIVE;D;20180821;00:00:00;1607.0000000;95190
FIVE;D;20180822;00:00:00;1608.0000000;95561
FIVE;D;20180823;00:00:00;1556.0000000;114310
FIVE;D;20180824;00:00:00;1575.0000000;95405
FIVE;D;20180827;00:00:00;1580.0000000;25453
FIVE;D;20180828;00:00:00;1532.0000000;206341
FIVE;D;20180829;00:00:00;1540.5000000;107670
FIVE;D;20180830;00:00:00;1529.5000000;103717
FIVE;D;20180831;00:00:00;1590.0000000;244976
FIVE;D;20180903;00:00:00;1572.0000000;54724
FIVE;D;20180904;00:00:00;1576.0000000;67242
FIVE;D;20180905;00:00:00;1545.0000000;54034
FIVE;D;20180906;00:00:00;1558.5000000;54183
FIVE;D;20180907;00:00:00;1563.0000000;32126
FIVE;D;20180910;00:00:00;1569.5000000;36194
FIVE;D;20180911;00:00:00;1512.0000000;168296
FIVE;D;20180912;00:00:00;1474.5000000;130974
FIVE;D;20180913;00:00:00;1540.0000000;171277
FIVE;D;20180914;00:00:00;1595.0000000;155752
FIVE;D;20180917;00:00:00;1645.0000000;92469
FIVE;D;20180918;00:00:00;1638.0000000;86014
FIVE;D;20180919;00:00:00;1625.0000000;86742
FIVE;D;20180920;00:00:00;1671.0000000;320462
FIVE;D;20180921;00:00:00;1685.0000000;273134
FIVE;D;20180924;00:00:00;1616.5000000;66035
FIVE;D;20180925;00:00:00;1630.5000000;55346
FIVE;D;20180926;00:00:00;1573.0000000;73434
FIVE;D;20180927;00:00:00;1515.5000000;338345
FIVE;D;20180928;00:00:00;1481.5000000;101555
FIVE;D;20181001;00:00:00;1437.0000000;155238
FIVE;D;20181002;00:00:00;1412.0000000;112176
FIVE;D;20181003;00:00:00;1411.0000000;83158
FIVE;D;20181004;00:00:00;1424.0000000;96327
FIVE;D;20181005;00:00:00;1390.0000000;92460
FIVE;D;20181008;00:00:00;1378.0000000;83587
FIVE;D;20181009;00:00:00;1353.0000000;108725
FIVE;D;20181010;00:00:00;1319.0000000;130129
FIVE;D;20181011;00:00:00;1287.0000000;215788
FIVE;D;20181012;00:00:00;1382.0000000;123059
FIVE;D;20181015;00:00:00;1362.0000000;115845
FIVE;D;20181016;00:00:00;1373.5000000;94841
FIVE;D;20181017;00:00:00;1442.0000000;159804
FIVE;D;20181018;00:00:00;1420.5000000;132337
FIVE;D;20181019;00:00:00;1434.5000000;128691
FIVE;D;20181022;00:00:00;1442.0000000;78292
FIVE;D;20181023;00:00:00;1442.5000000;76075
FIVE;D;20181024;00:00:00;1532.0000000;345233
FIVE;D;20181025;00:00:00;1555.0000000;142011
FIVE;D;20181026;00:00:00;1530.0000000;84125
FIVE;D;20181029;00:00:00;1534.0000000;49639
FIVE;D;20181030;00:00:00;1562.5000000;72031
FIVE;D;20181031;00:00:00;1539.0000000;115348
FIVE;D;20181101;00:00:00;1598.5000000;105747
FIVE;D;20181102;00:00:00;1614.5000000;88262
FIVE;D;20181106;00:00:00;1629.5000000;49551
FIVE;D;20181107;00:00:00;1640.0000000;74184
FIVE;D;20181108;00:00:00;1610.0000000;49827
FIVE;D;20181109;00:00:00;1610.5000000;101080
FIVE;D;20181112;00:00:00;1577.5000000;39349
FIVE;D;20181113;00:00:00;1554.0000000;62197
FIVE;D;20181114;00:00:00;1535.5000000;75919
FIVE;D;20181115;00:00:00;1583.5000000;64128
FIVE;D;20181116;00:00:00;1565.0000000;68198
FIVE;D;20181119;00:00:00;1558.5000000;51994
FIVE;D;20181120;00:00:00;1513.5000000;66964
FIVE;D;20181121;00:00:00;1558.5000000;50969
FIVE;D;20181122;00:00:00;1583.0000000;41630
FIVE;D;20181123;00:00:00;1606.5000000;81923
FIVE;D;20181126;00:00:00;1597.0000000;85403
FIVE;D;20181127;00:00:00;1656.0000000;60146
FIVE;D;20181128;00:00:00;1721.5000000;122668
FIVE;D;20181129;00:00:00;1710.0000000;174556
FIVE;D;20181130;00:00:00;1725.0000000;263666
FIVE;D;20181203;00:00:00;1742.5000000;115973
FIVE;D;20181204;00:00:00;1667.5000000;155737
FIVE;D;20181205;00:00:00;1619.0000000;238665
FIVE;D;20181206;00:00:00;1610.5000000;116556
FIVE;D;20181207;00:00:00;1635.0000000;159640
FIVE;D;20181210;00:00:00;1584.0000000;72008
FIVE;D;20181211;00:00:00;1577.5000000;76093
FIVE;D;20181212;00:00:00;1576.0000000;50982
FIVE;D;20181213;00:00:00;1618.5000000;85265
FIVE;D;20181214;00:00:00;1640.0000000;50975
FIVE;D;20181217;00:00:00;1656.5000000;59989
FIVE;D;20181218;00:00:00;1719.5000000;179412
FIVE;D;20181219;00:00:00;1774.0000000;110203
FIVE;D;20181220;00:00:00;1800.0000000;165759
FIVE;D;20181221;00:00:00;1805.0000000;149671
FIVE;D;20181224;00:00:00;1700.0000000;42535
FIVE;D;20181225;00:00:00;1646.5000000;45886
FIVE;D;20181226;00:00:00;1680.0000000;50850
FIVE;D;20181227;00:00:00;1691.5000000;84359
FIVE;D;20181228;00:00:00;1746.5000000;40967
FIVE;D;20181229;00:00:00;1725.0000000;6340
FIVE;D;20190103;00:00:00;1823.0000000;69642
FIVE;D;20190104;00:00:00;1868.0000000;92024
FIVE;D;20190108;00:00:00;1822.0000000;127594
FIVE;D;20190109;00:00:00;1792.0000000;135770
FIVE;D;20190110;00:00:00;1759.5000000;114576
FIVE;D;20190111;00:00:00;1760.0000000;140797
FIVE;D;20190114;00:00:00;1765.0000000;73991
FIVE;D;20190115;00:00:00;1772.5000000;88693
FIVE;D;20190116;00:00:00;1759.0000000;69305
FIVE;D;20190117;00:00:00;1721.5000000;132470
FIVE;D;20190118;00:00:00;1783.0000000;161482
FIVE;D;20190121;00:00:00;1770.0000000;79402
FIVE;D;20190122;00:00:00;1822.5000000;123562
FIVE;D;20190123;00:00:00;1811.0000000;221710
FIVE;D;20190124;00:00:00;1834.0000000;169221
FIVE;D;20190125;00:00:00;1820.5000000;71335
FIVE;D;20190128;00:00:00;1785.0000000;66175
FIVE;D;20190129;00:00:00;1760.0000000;65913
FIVE;D;20190130;00:00:00;1740.0000000;139025
FIVE;D;20190131;00:00:00;1715.5000000;153016
FIVE;D;20190201;00:00:00;1748.5000000;81332
FIVE;D;20190204;00:00:00;1721.0000000;89841
FIVE;D;20190205;00:00:00;1760.0000000;72754
FIVE;D;20190206;00:00:00;1793.0000000;110895
FIVE;D;20190207;00:00:00;1801.0000000;65923
FIVE;D;20190208;00:00:00;1821.5000000;40685
FIVE;D;20190211;00:00:00;1792.0000000;50073
FIVE;D;20190212;00:00:00;1803.5000000;50660
FIVE;D;20190213;00:00:00;1759.5000000;117807
FIVE;D;20190214;00:00:00;1762.5000000;86095
FIVE;D;20190215;00:00:00;1800.0000000;94594
FIVE;D;20190218;00:00:00;1796.0000000;28638
FIVE;D;20190219;00:00:00;1773.0000000;54371
FIVE;D;20190220;00:00:00;1828.5000000;84866
FIVE;D;20190221;00:00:00;1817.0000000;87477
FIVE;D;20190222;00:00:00;1811.5000000;45563
FIVE;D;20190225;00:00:00;1781.5000000;72853
FIVE;D;20190226;00:00:00;1755.5000000;183179
FIVE;D;20190227;00:00:00;1704.5000000;112345
FIVE;D;20190228;00:00:00;1676.5000000;201430
FIVE;D;20190301;00:00:00;1663.0000000;156511
FIVE;D;20190304;00:00:00;1665.0000000;63941
FIVE;D;20190305;00:00:00;1636.0000000;48100
FIVE;D;20190306;00:00:00;1674.0000000;95198
FIVE;D;20190307;00:00:00;1644.0000000;48727
FIVE;D;20190311;00:00:00;1686.5000000;101461
FIVE;D;20190312;00:00:00;1698.0000000;70802
FIVE;D;20190313;00:00:00;1646.5000000;113496
FIVE;D;20190314;00:00:00;1616.5000000;127067
FIVE;D;20190315;00:00:00;1592.5000000;155300
FIVE;D;20190318;00:00:00;1635.0000000;156260
FIVE;D;20190319;00:00:00;1605.0000000;106597
FIVE;D;20190320;00:00:00;1607.5000000;317583
FIVE;D;20190321;00:00:00;1608.0000000;233681
FIVE;D;20190322;00:00:00;1604.0000000;116178
FIVE;D;20190325;00:00:00;1617.5000000;89645
FIVE;D;20190326;00:00:00;1681.0000000;144507
FIVE;D;20190327;00:00:00;1632.0000000;80948
FIVE;D;20190328;00:00:00;1637.5000000;71004
FIVE;D;20190329;00:00:00;1637.0000000;127273
FIVE;D;20190401;00:00:00;1654.0000000;67801
FIVE;D;20190402;00:00:00;1654.0000000;85084
FIVE;D;20190403;00:00:00;1657.5000000;78005
FIVE;D;20190404;00:00:00;1670.0000000;61265
FIVE;D;20190405;00:00:00;1659.0000000;43659
FIVE;D;20190408;00:00:00;1655.5000000;72470
FIVE;D;20190409;00:00:00;1664.5000000;94612
FIVE;D;20190410;00:00:00;1650.0000000;76921
FIVE;D;20190411;00:00:00;1633.0000000;53464
FIVE;D;20190412;00:00:00;1640.5000000;76410
FIVE;D;20190415;00:00:00;1633.5000000;36652
FIVE;D;20190416;00:00:00;1633.0000000;64529
FIVE;D;20190417;00:00:00;1728.0000000;152070
FIVE;D;20190418;00:00:00;1768.0000000;118283
FIVE;D;20190419;00:00:00;1762.5000000;27956
FIVE;D;20190422;00:00:00;1758.5000000;21516
FIVE;D;20190423;00:00:00;1804.0000000;112127
FIVE;D;20190424;00:00:00;1810.0000000;85678
FIVE;D;20190425;00:00:00;1910.0000000;249695
FIVE;D;20190426;00:00:00;1912.0000000;75874
FIVE;D;20190429;00:00:00;1894.5000000;40105
FIVE;D;20190430;00:00:00;1963.0000000;117138
FIVE;D;20190502;00:00:00;1967.0000000;47300
FIVE;D;20190503;00:00:00;1999.5000000;81973
FIVE;D;20190506;00:00:00;1970.0000000;49081
FIVE;D;20190507;00:00:00;1983.0000000;58337
FIVE;D;20190508;00:00:00;1927.0000000;103578
FIVE;D;20190510;00:00:00;1896.0000000;99399
FIVE;D;20190513;00:00:00;1904.0000000;110390
FIVE;D;20190514;00:00:00;1908.5000000;130361
FIVE;D;20190515;00:00:00;1897.0000000;102707
FIVE;D;20190516;00:00:00;1943.0000000;153238
FIVE;D;20190517;00:00:00;2000.0000000;154606
FIVE;D;20190520;00:00:00;1995.0000000;98369
FIVE;D;20190521;00:00:00;1952.0000000;78046
FIVE;D;20190522;00:00:00;1933.5000000;88225
FIVE;D;20190523;00:00:00;1857.5000000;130521
FIVE;D;20190524;00:00:00;1828.0000000;72937
FIVE;D;20190527;00:00:00;1857.5000000;23819
FIVE;D;20190528;00:00:00;1847.0000000;297494
FIVE;D;20190529;00:00:00;1901.0000000;113982
FIVE;D;20190530;00:00:00;1924.0000000;99301
FIVE;D;20190531;00:00:00;1922.5000000;77091
FIVE;D;20190603;00:00:00;2010.0000000;101314
FIVE;D;20190604;00:00:00;2005.0000000;85726
FIVE;D;20190605;00:00:00;2033.0000000;84438
FIVE;D;20190606;00:00:00;2045.0000000;65346
FIVE;D;20190607;00:00:00;2040.5000000;72505
FIVE;D;20190610;00:00:00;2049.0000000;43030
FIVE;D;20190611;00:00:00;2093.0000000;206658
FIVE;D;20190613;00:00:00;2098.0000000;103623
FIVE;D;20190614;00:00:00;2066.0000000;88967
FIVE;D;20190617;00:00:00;2052.5000000;98755
FIVE;D;20190618;00:00:00;2071.5000000;105257
FIVE;D;20190619;00:00:00;2074.0000000;59287
FIVE;D;20190620;00:00:00;2090.5000000;276771
FIVE;D;20190621;00:00:00;2130.0000000;153033
FIVE;D;20190624;00:00:00;2159.0000000;68967
FIVE;D;20190625;00:00:00;2154.0000000;73854
