<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
GAZP;D;20150112;00:00:00;140.2200000;25286750
GAZP;D;20150113;00:00:00;142.6400000;32912570
GAZP;D;20150114;00:00:00;146.3000000;37809840
GAZP;D;20150115;00:00:00;147.0000000;32827500
GAZP;D;20150116;00:00:00;149.6000000;32654610
GAZP;D;20150119;00:00:00;148.1100000;53463970
GAZP;D;20150120;00:00:00;145.7500000;32708420
GAZP;D;20150121;00:00:00;148.8000000;29848900
GAZP;D;20150122;00:00:00;151.5000000;55798150
GAZP;D;20150123;00:00:00;152.8300000;37301630
GAZP;D;20150126;00:00:00;148.0000000;28731340
GAZP;D;20150127;00:00:00;150.9000000;37723580
GAZP;D;20150128;00:00:00;147.7000000;34626110
GAZP;D;20150129;00:00:00;145.0000000;33407690
GAZP;D;20150130;00:00:00;143.8200000;41065400
GAZP;D;20150202;00:00:00;138.1800000;59466380
GAZP;D;20150203;00:00:00;140.3500000;40907380
GAZP;D;20150204;00:00:00;142.6000000;29493190
GAZP;D;20150205;00:00:00;147.6000000;46291340
GAZP;D;20150206;00:00:00;151.6000000;54142610
GAZP;D;20150209;00:00:00;149.3000000;52241540
GAZP;D;20150210;00:00:00;149.3100000;31175990
GAZP;D;20150211;00:00:00;150.5500000;41820760
GAZP;D;20150212;00:00:00;157.7000000;91156340
GAZP;D;20150213;00:00:00;162.4000000;89377400
GAZP;D;20150216;00:00:00;160.1900000;29821640
GAZP;D;20150217;00:00:00;159.2000000;59447430
GAZP;D;20150218;00:00:00;163.0000000;54912720
GAZP;D;20150219;00:00:00;160.9000000;50473800
GAZP;D;20150220;00:00:00;158.0000000;32332190
GAZP;D;20150224;00:00:00;154.9900000;28600570
GAZP;D;20150225;00:00:00;150.7000000;41463370
GAZP;D;20150226;00:00:00;151.6500000;48545040
GAZP;D;20150227;00:00:00;152.9500000;36624630
GAZP;D;20150302;00:00:00;155.5000000;27900900
GAZP;D;20150303;00:00:00;159.0000000;47128040
GAZP;D;20150304;00:00:00;154.0000000;31912190
GAZP;D;20150305;00:00:00;154.8000000;43663160
GAZP;D;20150306;00:00:00;152.1200000;27153000
GAZP;D;20150310;00:00:00;148.0500000;35177360
GAZP;D;20150311;00:00:00;145.9900000;37535890
GAZP;D;20150312;00:00:00;144.7000000;26593210
GAZP;D;20150313;00:00:00;141.8000000;32670560
GAZP;D;20150316;00:00:00;139.7500000;36738930
GAZP;D;20150317;00:00:00;139.7000000;27127530
GAZP;D;20150318;00:00:00;140.2500000;25261050
GAZP;D;20150319;00:00:00;136.8100000;40965410
GAZP;D;20150320;00:00:00;136.0000000;56207380
GAZP;D;20150323;00:00:00;134.6100000;30128270
GAZP;D;20150324;00:00:00;137.1500000;30855630
GAZP;D;20150325;00:00:00;134.9000000;29343750
GAZP;D;20150326;00:00:00;132.2000000;37374410
GAZP;D;20150327;00:00:00;134.8800000;32407470
GAZP;D;20150330;00:00:00;137.0000000;26567650
GAZP;D;20150331;00:00:00;138.9000000;34720700
GAZP;D;20150401;00:00:00;143.0000000;46783440
GAZP;D;20150402;00:00:00;143.9000000;35058240
GAZP;D;20150403;00:00:00;143.9400000;18614060
GAZP;D;20150406;00:00:00;145.7000000;23373280
GAZP;D;20150407;00:00:00;146.2000000;38076180
GAZP;D;20150408;00:00:00;147.2700000;31101850
GAZP;D;20150409;00:00:00;148.1000000;67745770
GAZP;D;20150410;00:00:00;148.0000000;55383440
GAZP;D;20150413;00:00:00;148.8000000;34983000
