<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
MTSS;D;20150112;00:00:00;193.0000000;2718270
MTSS;D;20150113;00:00:00;204.5000000;3736380
MTSS;D;20150114;00:00:00;210.2000000;3720140
MTSS;D;20150115;00:00:00;216.5000000;5836380
MTSS;D;20150116;00:00:00;215.8000000;2341990
MTSS;D;20150119;00:00:00;215.0000000;3106370
MTSS;D;20150120;00:00:00;214.1500000;2611270
MTSS;D;20150121;00:00:00;222.9500000;3017580
MTSS;D;20150122;00:00:00;227.0000000;4411870
MTSS;D;20150123;00:00:00;228.0000000;4349300
MTSS;D;20150126;00:00:00;214.2500000;3666580
MTSS;D;20150127;00:00:00;215.5500000;3735620
MTSS;D;20150128;00:00:00;214.0000000;2418240
MTSS;D;20150129;00:00:00;219.5500000;3158740
MTSS;D;20150130;00:00:00;217.8500000;4669270
MTSS;D;20150202;00:00:00;227.3000000;3711340
MTSS;D;20150203;00:00:00;233.0500000;3802620
MTSS;D;20150204;00:00:00;232.0000000;3017300
MTSS;D;20150205;00:00:00;235.5000000;4459450
MTSS;D;20150206;00:00:00;240.8000000;3695250
MTSS;D;20150209;00:00:00;240.6000000;5606670
MTSS;D;20150210;00:00:00;230.0500000;3952040
MTSS;D;20150211;00:00:00;237.9500000;4629930
MTSS;D;20150212;00:00:00;250.9500000;8569410
MTSS;D;20150213;00:00:00;257.3500000;8146610
MTSS;D;20150216;00:00:00;252.3000000;2728350
MTSS;D;20150217;00:00:00;252.0000000;2853450
MTSS;D;20150218;00:00:00;250.3500000;2166950
MTSS;D;20150219;00:00:00;257.0000000;3248640
MTSS;D;20150220;00:00:00;252.5000000;1423960
MTSS;D;20150224;00:00:00;250.3000000;2058650
MTSS;D;20150225;00:00:00;248.6000000;2771410
MTSS;D;20150226;00:00:00;253.5000000;2320700
MTSS;D;20150227;00:00:00;249.0000000;1554260
MTSS;D;20150302;00:00:00;247.5500000;2171980
MTSS;D;20150303;00:00:00;257.2500000;2324020
MTSS;D;20150304;00:00:00;252.0000000;3054610
MTSS;D;20150305;00:00:00;247.5000000;3679390
MTSS;D;20150306;00:00:00;244.5000000;2181900
MTSS;D;20150310;00:00:00;234.5000000;3081220
MTSS;D;20150311;00:00:00;234.0000000;1951020
MTSS;D;20150312;00:00:00;232.3500000;1573220
MTSS;D;20150313;00:00:00;230.3000000;2142840
MTSS;D;20150316;00:00:00;222.7000000;3087600
MTSS;D;20150317;00:00:00;220.4000000;3991280
MTSS;D;20150318;00:00:00;227.3000000;2296300
MTSS;D;20150319;00:00:00;227.0000000;2999190
MTSS;D;20150320;00:00:00;238.9500000;6513640
MTSS;D;20150323;00:00:00;238.7500000;4619720
MTSS;D;20150324;00:00:00;246.0000000;4280640
MTSS;D;20150325;00:00:00;249.6500000;2248420
MTSS;D;20150326;00:00:00;242.7500000;1988460
MTSS;D;20150327;00:00:00;243.0000000;2067290
MTSS;D;20150330;00:00:00;246.3000000;1084970
MTSS;D;20150331;00:00:00;247.0000000;1998390
MTSS;D;20150401;00:00:00;250.9000000;2489860
MTSS;D;20150402;00:00:00;250.0000000;2043680
MTSS;D;20150403;00:00:00;248.6000000;813050
MTSS;D;20150406;00:00:00;253.9000000;1383280
MTSS;D;20150407;00:00:00;255.0000000;1554400
MTSS;D;20150408;00:00:00;253.0000000;1461410
MTSS;D;20150409;00:00:00;252.0000000;3217560
MTSS;D;20150410;00:00:00;248.0000000;2796680
MTSS;D;20150413;00:00:00;253.1000000;2127680
MTSS;D;20150414;00:00:00;253.5000000;1281110
MTSS;D;20150415;00:00:00;263.0000000;6164440
MTSS;D;20150416;00:00:00;263.7000000;2817330
MTSS;D;20150417;00:00:00;257.0000000;4029430
MTSS;D;20150420;00:00:00;252.9000000;2957020
MTSS;D;20150421;00:00:00;255.1500000;1593460
MTSS;D;20150422;00:00:00;252.4000000;2176260
MTSS;D;20150423;00:00:00;253.2500000;2714440
MTSS;D;20150424;00:00:00;255.1500000;2059940
MTSS;D;20150427;00:00:00;257.8000000;1554510
MTSS;D;20150428;00:00:00;261.0000000;2208360
MTSS;D;20150429;00:00:00;258.0000000;1753010
