<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ROSB;D;20150112;00:00:00;42.0000000;150
ROSB;D;20150113;00:00:00;43.4000000;750
ROSB;D;20150114;00:00:00;43.9000000;580
ROSB;D;20150115;00:00:00;43.6000000;1220
ROSB;D;20150116;00:00:00;44.5000000;220
ROSB;D;20150119;00:00:00;44.6000000;1250
ROSB;D;20150120;00:00:00;45.8000000;1760
ROSB;D;20150122;00:00:00;45.1000000;2300
ROSB;D;20150123;00:00:00;44.8000000;860
ROSB;D;20150126;00:00:00;43.3000000;110
ROSB;D;20150127;00:00:00;45.0000000;640
ROSB;D;20150128;00:00:00;45.9000000;160
ROSB;D;20150129;00:00:00;46.9000000;310
ROSB;D;20150130;00:00:00;48.5000000;310
ROSB;D;20150202;00:00:00;47.4000000;160
ROSB;D;20150203;00:00:00;46.4000000;230
ROSB;D;20150204;00:00:00;47.1000000;140
ROSB;D;20150205;00:00:00;47.9000000;120
ROSB;D;20150206;00:00:00;48.2000000;340
ROSB;D;20150209;00:00:00;49.5000000;1060
ROSB;D;20150210;00:00:00;48.4000000;500
ROSB;D;20150211;00:00:00;49.0000000;110
ROSB;D;20150212;00:00:00;49.3000000;60
ROSB;D;20150213;00:00:00;49.0000000;1170
ROSB;D;20150216;00:00:00;48.4000000;50
ROSB;D;20150217;00:00:00;48.4000000;290
ROSB;D;20150218;00:00:00;48.1000000;30
ROSB;D;20150219;00:00:00;49.0000000;10
ROSB;D;20150220;00:00:00;49.8000000;130
ROSB;D;20150225;00:00:00;48.5000000;220
ROSB;D;20150226;00:00:00;49.4000000;20
ROSB;D;20150227;00:00:00;48.9000000;1120
ROSB;D;20150302;00:00:00;48.9000000;180
ROSB;D;20150303;00:00:00;48.9000000;180
ROSB;D;20150304;00:00:00;47.8000000;3220
ROSB;D;20150305;00:00:00;47.5000000;210
ROSB;D;20150306;00:00:00;47.3000000;60
ROSB;D;20150310;00:00:00;45.8000000;80
ROSB;D;20150311;00:00:00;47.9000000;1410
ROSB;D;20150313;00:00:00;46.1000000;70
ROSB;D;20150316;00:00:00;46.1000000;80
ROSB;D;20150317;00:00:00;47.8000000;1200
ROSB;D;20150318;00:00:00;47.7000000;870
ROSB;D;20150319;00:00:00;47.6000000;540
ROSB;D;20150320;00:00:00;49.5000000;860
ROSB;D;20150323;00:00:00;47.5000000;250
ROSB;D;20150324;00:00:00;47.4000000;10
ROSB;D;20150325;00:00:00;47.6000000;100
ROSB;D;20150326;00:00:00;49.4000000;130
ROSB;D;20150330;00:00:00;48.5000000;1530
ROSB;D;20150331;00:00:00;47.4000000;120
ROSB;D;20150401;00:00:00;46.6000000;80
ROSB;D;20150402;00:00:00;48.9000000;50
ROSB;D;20150403;00:00:00;49.1000000;150
ROSB;D;20150406;00:00:00;47.5000000;430
ROSB;D;20150407;00:00:00;46.8000000;620
ROSB;D;20150408;00:00:00;46.3000000;320
ROSB;D;20150409;00:00:00;46.3000000;110
ROSB;D;20150410;00:00:00;47.5000000;110
ROSB;D;20150413;00:00:00;47.8000000;20
ROSB;D;20150414;00:00:00;47.6000000;50
ROSB;D;20150415;00:00:00;46.2000000;180
ROSB;D;20150416;00:00:00;47.0000000;160
