<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ROSN;D;20150112;00:00:00;204.0000000;3140710
ROSN;D;20150113;00:00:00;204.9000000;3118110
ROSN;D;20150114;00:00:00;209.5000000;3141270
ROSN;D;20150115;00:00:00;219.9000000;9174870
ROSN;D;20150116;00:00:00;226.0000000;5760000
ROSN;D;20150119;00:00:00;225.3000000;9129200
ROSN;D;20150120;00:00:00;227.0000000;8174320
ROSN;D;20150121;00:00:00;234.6000000;5909100
ROSN;D;20150122;00:00:00;241.8000000;9379380
ROSN;D;20150123;00:00:00;243.9000000;7507760
ROSN;D;20150126;00:00:00;237.2500000;4023290
ROSN;D;20150127;00:00:00;239.0000000;6513320
ROSN;D;20150128;00:00:00;231.5000000;6891990
ROSN;D;20150129;00:00:00;226.5500000;4168870
ROSN;D;20150130;00:00:00;229.3500000;6763000
ROSN;D;20150202;00:00:00;230.5500000;7697460
ROSN;D;20150203;00:00:00;238.3500000;13896160
ROSN;D;20150204;00:00:00;239.0000000;7514310
ROSN;D;20150205;00:00:00;251.0000000;9078080
ROSN;D;20150206;00:00:00;261.0000000;12558360
ROSN;D;20150209;00:00:00;257.0000000;8446140
ROSN;D;20150210;00:00:00;257.0500000;5308230
ROSN;D;20150211;00:00:00;265.3500000;8585620
ROSN;D;20150212;00:00:00;274.0500000;12807970
ROSN;D;20150213;00:00:00;290.2000000;9916760
ROSN;D;20150216;00:00:00;279.7000000;8141790
ROSN;D;20150217;00:00:00;275.9500000;8875790
ROSN;D;20150218;00:00:00;281.4500000;5216690
ROSN;D;20150219;00:00:00;275.7500000;6883620
ROSN;D;20150220;00:00:00;274.0000000;4287870
ROSN;D;20150224;00:00:00;268.6500000;3513690
ROSN;D;20150225;00:00:00;263.4500000;4407180
ROSN;D;20150226;00:00:00;263.8500000;5636190
ROSN;D;20150227;00:00:00;265.8500000;3397580
ROSN;D;20150302;00:00:00;269.7000000;4287920
ROSN;D;20150303;00:00:00;277.0000000;6066350
ROSN;D;20150304;00:00:00;264.9500000;6666090
ROSN;D;20150305;00:00:00;269.6000000;6576710
ROSN;D;20150306;00:00:00;263.5000000;3630370
ROSN;D;20150310;00:00:00;253.0000000;5169160
ROSN;D;20150311;00:00:00;251.4500000;4247700
ROSN;D;20150312;00:00:00;247.7000000;4188400
ROSN;D;20150313;00:00:00;241.3000000;4009140
ROSN;D;20150316;00:00:00;236.7000000;5187150
ROSN;D;20150317;00:00:00;237.0000000;3433520
ROSN;D;20150318;00:00:00;243.4000000;5410680
ROSN;D;20150319;00:00:00;237.0500000;5492120
ROSN;D;20150320;00:00:00;239.3000000;6500210
ROSN;D;20150323;00:00:00;239.9500000;6454430
ROSN;D;20150324;00:00:00;244.0000000;3541730
ROSN;D;20150325;00:00:00;242.7000000;4275260
ROSN;D;20150326;00:00:00;237.1000000;7853720
ROSN;D;20150327;00:00:00;237.2500000;3325250
ROSN;D;20150330;00:00:00;247.5000000;4414090
ROSN;D;20150331;00:00:00;252.1500000;6197590
ROSN;D;20150401;00:00:00;261.3500000;6549480
ROSN;D;20150402;00:00:00;262.5500000;4223480
ROSN;D;20150403;00:00:00;263.7000000;1971510
ROSN;D;20150406;00:00:00;266.1500000;2202900
ROSN;D;20150407;00:00:00;264.1000000;4137080
ROSN;D;20150408;00:00:00;263.7000000;4765440
ROSN;D;20150409;00:00:00;258.5500000;5958930
ROSN;D;20150410;00:00:00;256.9500000;5986480
ROSN;D;20150413;00:00:00;255.5000000;4639570
ROSN;D;20150414;00:00:00;249.5000000;5038910
ROSN;D;20150415;00:00:00;254.4000000;4463480
ROSN;D;20150416;00:00:00;259.2500000;4586450
ROSN;D;20150417;00:00:00;256.0000000;4685890
ROSN;D;20150420;00:00:00;260.5000000;4823400
ROSN;D;20150421;00:00:00;259.7000000;5281760
ROSN;D;20150422;00:00:00;252.4000000;4179430
ROSN;D;20150423;00:00:00;249.1000000;4327560
ROSN;D;20150424;00:00:00;258.2000000;5290190
ROSN;D;20150427;00:00:00;256.0000000;2329820
ROSN;D;20150428;00:00:00;256.5500000;2259800
ROSN;D;20150429;00:00:00;255.0000000;3254090
ROSN;D;20150430;00:00:00;256.5000000;3222340
ROSN;D;20150505;00:00:00;261.5000000;4375520
ROSN;D;20150506;00:00:00;259.9000000;3737540
ROSN;D;20150507;00:00:00;255.2500000;4078810
ROSN;D;20150508;00:00:00;259.4500000;2841540
ROSN;D;20150512;00:00:00;258.3500000;2903280
ROSN;D;20150513;00:00:00;252.4500000;3031850
ROSN;D;20150514;00:00:00;255.7000000;2090520
ROSN;D;20150515;00:00:00;257.4500000;2903580
ROSN;D;20150518;00:00:00;256.1000000;1394970
ROSN;D;20150519;00:00:00;252.2500000;3008250
ROSN;D;20150520;00:00:00;245.9000000;1958810
ROSN;D;20150521;00:00:00;245.6500000;4263720
ROSN;D;20150522;00:00:00;249.9000000;2464810
ROSN;D;20150525;00:00:00;244.6000000;2564890
ROSN;D;20150526;00:00:00;245.1500000;1981860
ROSN;D;20150527;00:00:00;247.5000000;2869420
ROSN;D;20150528;00:00:00;245.8000000;2310670
ROSN;D;20150529;00:00:00;234.0000000;6325230
ROSN;D;20150601;00:00:00;236.0000000;3505490
ROSN;D;20150602;00:00:00;237.5000000;4190960
ROSN;D;20150603;00:00:00;233.1000000;4321400
ROSN;D;20150604;00:00:00;236.2500000;2508220
ROSN;D;20150605;00:00:00;236.7500000;2763850
ROSN;D;20150608;00:00:00;239.6000000;4445200
ROSN;D;20150609;00:00:00;245.0000000;4177270
ROSN;D;20150610;00:00:00;246.0000000;3226680
ROSN;D;20150611;00:00:00;245.2000000;4525630
ROSN;D;20150615;00:00:00;243.4000000;5986390
ROSN;D;20150616;00:00:00;245.7000000;2990720
ROSN;D;20150617;00:00:00;245.9000000;2625960
ROSN;D;20150618;00:00:00;245.0000000;3548010
ROSN;D;20150619;00:00:00;250.0000000;4283520
ROSN;D;20150622;00:00:00;251.6000000;3961530
ROSN;D;20150623;00:00:00;250.0000000;2392990
ROSN;D;20150624;00:00:00;246.0500000;2543510
ROSN;D;20150625;00:00:00;238.5500000;7550670
ROSN;D;20150626;00:00:00;229.9000000;10805170
ROSN;D;20150629;00:00:00;229.6500000;3273070
ROSN;D;20150630;00:00:00;232.0000000;4249160
ROSN;D;20150701;00:00:00;232.0000000;2111650
ROSN;D;20150702;00:00:00;231.2000000;1431890
ROSN;D;20150703;00:00:00;228.4000000;2020630
ROSN;D;20150706;00:00:00;222.8000000;4213300
ROSN;D;20150707;00:00:00;220.5000000;5499830
ROSN;D;20150708;00:00:00;219.0000000;5671890
ROSN;D;20150709;00:00:00;223.6000000;5683800
ROSN;D;20150710;00:00:00;227.0000000;4009060
ROSN;D;20150713;00:00:00;231.5000000;4214970
ROSN;D;20150714;00:00:00;228.8000000;6250090
ROSN;D;20150715;00:00:00;230.5000000;4147570
ROSN;D;20150716;00:00:00;233.9000000;3732480
ROSN;D;20150717;00:00:00;232.0000000;2327230
ROSN;D;20150720;00:00:00;227.2000000;3143840
ROSN;D;20150721;00:00:00;227.0500000;5486190
ROSN;D;20150722;00:00:00;226.9500000;3229310
ROSN;D;20150723;00:00:00;223.2000000;3999970
ROSN;D;20150724;00:00:00;220.6000000;4196080
ROSN;D;20150727;00:00:00;220.5000000;4425770
ROSN;D;20150728;00:00:00;222.9000000;6368800
ROSN;D;20150729;00:00:00;229.0000000;5222760
ROSN;D;20150730;00:00:00;230.1000000;3251240
ROSN;D;20150731;00:00:00;236.7000000;6519640
ROSN;D;20150803;00:00:00;233.0500000;3928660
ROSN;D;20150804;00:00:00;233.0500000;3739950
ROSN;D;20150805;00:00:00;236.1500000;3130860
ROSN;D;20150806;00:00:00;233.6500000;3845490
ROSN;D;20150807;00:00:00;235.5500000;2954470
ROSN;D;20150810;00:00:00;236.8500000;2959820
ROSN;D;20150811;00:00:00;235.5000000;4097330
ROSN;D;20150812;00:00:00;240.0000000;3626920
ROSN;D;20150813;00:00:00;243.9000000;6307340
ROSN;D;20150814;00:00:00;246.6000000;4046460
ROSN;D;20150817;00:00:00;245.1500000;3499430
ROSN;D;20150818;00:00:00;243.2500000;2092020
ROSN;D;20150819;00:00:00;241.0500000;3413280
ROSN;D;20150820;00:00:00;240.7000000;4023890
ROSN;D;20150821;00:00:00;235.2500000;4245290
ROSN;D;20150824;00:00:00;227.2500000;8732070
ROSN;D;20150825;00:00:00;235.4000000;5466050
ROSN;D;20150826;00:00:00;240.0000000;5101050
ROSN;D;20150827;00:00:00;245.5000000;6082340
ROSN;D;20150828;00:00:00;246.3500000;7927810
ROSN;D;20150831;00:00:00;245.1000000;5193090
ROSN;D;20150901;00:00:00;242.7000000;5691520
ROSN;D;20150902;00:00:00;249.0000000;7283270
ROSN;D;20150903;00:00:00;249.1500000;7375600
ROSN;D;20150904;00:00:00;244.3500000;3239540
ROSN;D;20150907;00:00:00;246.4000000;3505250
ROSN;D;20150908;00:00:00;248.0500000;3380110
ROSN;D;20150909;00:00:00;249.5000000;3519580
ROSN;D;20150910;00:00:00;247.2000000;4875410
ROSN;D;20150911;00:00:00;245.9000000;2452680
ROSN;D;20150914;00:00:00;246.0000000;2701640
ROSN;D;20150915;00:00:00;246.0000000;2219770
ROSN;D;20150916;00:00:00;251.5000000;3324640
ROSN;D;20150917;00:00:00;252.8500000;5724790
ROSN;D;20150918;00:00:00;256.0000000;9064700
ROSN;D;20150921;00:00:00;249.1000000;6453480
ROSN;D;20150922;00:00:00;244.8000000;7504030
ROSN;D;20150923;00:00:00;237.0000000;7568870
ROSN;D;20150924;00:00:00;237.2500000;4554980
ROSN;D;20150925;00:00:00;238.4000000;3868990
ROSN;D;20150928;00:00:00;236.6500000;3422920
ROSN;D;20150929;00:00:00;239.7000000;3289680
ROSN;D;20150930;00:00:00;242.9500000;5776740
ROSN;D;20151001;00:00:00;237.9000000;4620090
ROSN;D;20151002;00:00:00;234.6000000;3352430
ROSN;D;20151005;00:00:00;244.0000000;4405860
ROSN;D;20151006;00:00:00;248.5000000;4497750
ROSN;D;20151007;00:00:00;251.1500000;4549050
ROSN;D;20151008;00:00:00;253.0000000;3879640
ROSN;D;20151009;00:00:00;267.0000000;10566140
ROSN;D;20151012;00:00:00;263.0000000;6741440
ROSN;D;20151013;00:00:00;262.5000000;3770440
ROSN;D;20151014;00:00:00;260.8500000;3056900
ROSN;D;20151015;00:00:00;258.4000000;4862840
ROSN;D;20151016;00:00:00;253.4000000;7118600
ROSN;D;20151019;00:00:00;251.5000000;4535350
ROSN;D;20151020;00:00:00;250.7500000;4632870
ROSN;D;20151021;00:00:00;251.8000000;4054330
ROSN;D;20151022;00:00:00;253.4000000;2993120
ROSN;D;20151023;00:00:00;253.5000000;4661420
ROSN;D;20151026;00:00:00;250.5000000;3455160
ROSN;D;20151027;00:00:00;251.5000000;5190460
ROSN;D;20151028;00:00:00;253.8000000;3528790
ROSN;D;20151029;00:00:00;255.4500000;5434600
ROSN;D;20151030;00:00:00;258.1000000;3917430
ROSN;D;20151102;00:00:00;262.2000000;2347510
ROSN;D;20151103;00:00:00;270.6500000;6241330
ROSN;D;20151105;00:00:00;270.0000000;5842600
ROSN;D;20151106;00:00:00;264.7500000;3286540
ROSN;D;20151109;00:00:00;262.4000000;2915390
ROSN;D;20151110;00:00:00;257.5500000;3611100
ROSN;D;20151111;00:00:00;266.0000000;5251130
ROSN;D;20151112;00:00:00;263.0500000;4304450
ROSN;D;20151113;00:00:00;260.7000000;4662180
ROSN;D;20151116;00:00:00;263.5000000;3749560
ROSN;D;20151117;00:00:00;271.5000000;6834600
ROSN;D;20151118;00:00:00;278.2000000;4470860
ROSN;D;20151119;00:00:00;271.5000000;5444990
ROSN;D;20151120;00:00:00;272.9000000;5923870
ROSN;D;20151123;00:00:00;274.8000000;5996420
ROSN;D;20151124;00:00:00;265.7500000;5303940
ROSN;D;20151125;00:00:00;271.5500000;5503870
ROSN;D;20151126;00:00:00;270.8500000;4551760
ROSN;D;20151127;00:00:00;268.2000000;3735260
ROSN;D;20151130;00:00:00;265.0000000;4411310
ROSN;D;20151201;00:00:00;264.7000000;4739960
ROSN;D;20151202;00:00:00;258.5000000;6347400
ROSN;D;20151203;00:00:00;257.6000000;5207350
ROSN;D;20151204;00:00:00;251.4500000;5589630
ROSN;D;20151207;00:00:00;244.0000000;5976580
ROSN;D;20151208;00:00:00;244.6500000;5301950
ROSN;D;20151209;00:00:00;247.7000000;4018100
ROSN;D;20151210;00:00:00;249.0000000;4107600
ROSN;D;20151211;00:00:00;244.8500000;2263450
ROSN;D;20151214;00:00:00;244.9000000;4560690
ROSN;D;20151215;00:00:00;249.7000000;6543730
ROSN;D;20151216;00:00:00;250.1000000;2520120
ROSN;D;20151217;00:00:00;258.7000000;9096060
ROSN;D;20151218;00:00:00;250.7500000;6426830
ROSN;D;20151221;00:00:00;245.6000000;4049840
ROSN;D;20151222;00:00:00;248.2000000;3304720
ROSN;D;20151223;00:00:00;253.6500000;2966830
ROSN;D;20151224;00:00:00;251.6000000;2715560
ROSN;D;20151225;00:00:00;245.8000000;3790130
ROSN;D;20151228;00:00:00;246.0000000;1871490
ROSN;D;20151229;00:00:00;255.0000000;4705550
ROSN;D;20151230;00:00:00;253.2500000;4013160
ROSN;D;20160104;00:00:00;251.0000000;2463840
ROSN;D;20160105;00:00:00;253.2000000;2444740
ROSN;D;20160106;00:00:00;252.4000000;1964810
ROSN;D;20160111;00:00:00;241.0500000;7838580
ROSN;D;20160112;00:00:00;239.9000000;4731200
ROSN;D;20160113;00:00:00;239.6000000;3972470
ROSN;D;20160114;00:00:00;237.6500000;4019240
ROSN;D;20160115;00:00:00;232.1000000;7233780
ROSN;D;20160118;00:00:00;232.0000000;4383680
ROSN;D;20160119;00:00:00;236.0500000;4617090
ROSN;D;20160120;00:00:00;231.9000000;6081600
ROSN;D;20160121;00:00:00;237.5000000;5050440
ROSN;D;20160122;00:00:00;250.4000000;10115460
ROSN;D;20160125;00:00:00;255.0000000;6754790
ROSN;D;20160126;00:00:00;255.9000000;7377030
ROSN;D;20160127;00:00:00;264.4000000;6259590
