<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
SBER;D;20150112;00:00:00;62.9000000;99348150
SBER;D;20150113;00:00:00;60.3100000;190523350
SBER;D;20150114;00:00:00;60.0500000;133914740
SBER;D;20150115;00:00:00;61.8000000;179760110
SBER;D;20150116;00:00:00;61.9900000;142850950
SBER;D;20150119;00:00:00;61.8000000;124881980
SBER;D;20150120;00:00:00;60.8000000;120082050
SBER;D;20150121;00:00:00;62.8000000;106787340
SBER;D;20150122;00:00:00;64.3500000;173328060
SBER;D;20150123;00:00:00;64.4500000;163113520
SBER;D;20150126;00:00:00;60.4900000;153954480
SBER;D;20150127;00:00:00;61.2000000;188030700
SBER;D;20150128;00:00:00;60.6300000;139255140
SBER;D;20150129;00:00:00;60.5000000;150437700
SBER;D;20150130;00:00:00;61.5000000;194803960
SBER;D;20150202;00:00:00;61.4000000;194709040
SBER;D;20150203;00:00:00;62.0000000;140760260
SBER;D;20150204;00:00:00;61.0400000;83362480
SBER;D;20150205;00:00:00;62.4100000;173260500
SBER;D;20150206;00:00:00;64.3100000;180629990
SBER;D;20150209;00:00:00;65.5700000;223903050
SBER;D;20150210;00:00:00;65.0000000;121353630
SBER;D;20150211;00:00:00;65.1200000;142083250
SBER;D;20150212;00:00:00;67.2100000;402858420
SBER;D;20150213;00:00:00;70.6000000;375537650
SBER;D;20150216;00:00:00;70.0000000;130958800
SBER;D;20150217;00:00:00;72.4500000;243505180
SBER;D;20150218;00:00:00;76.4000000;237729810
SBER;D;20150219;00:00:00;73.7800000;238350910
SBER;D;20150220;00:00:00;74.7500000;177413610
SBER;D;20150224;00:00:00;73.7000000;116492680
SBER;D;20150225;00:00:00;74.2000000;122619350
SBER;D;20150226;00:00:00;75.9500000;143362770
SBER;D;20150227;00:00:00;75.9100000;129646770
SBER;D;20150302;00:00:00;76.2000000;110350330
SBER;D;20150303;00:00:00;75.5500000;129638970
SBER;D;20150304;00:00:00;72.3100000;117741850
SBER;D;20150305;00:00:00;72.7000000;175774530
SBER;D;20150306;00:00:00;73.2500000;105004320
SBER;D;20150310;00:00:00;69.8000000;149452920
SBER;D;20150311;00:00:00;70.6800000;149640420
SBER;D;20150312;00:00:00;70.7900000;82826780
SBER;D;20150313;00:00:00;67.8700000;151539080
SBER;D;20150316;00:00:00;65.5700000;156219530
SBER;D;20150317;00:00:00;64.6500000;183354400
SBER;D;20150318;00:00:00;65.2600000;108022410
SBER;D;20150319;00:00:00;64.9000000;123897660
SBER;D;20150320;00:00:00;67.0000000;147821230
SBER;D;20150323;00:00:00;65.0000000;131365440
SBER;D;20150324;00:00:00;65.6000000;121872960
SBER;D;20150325;00:00:00;64.8000000;97732050
SBER;D;20150326;00:00:00;62.8500000;148036640
SBER;D;20150327;00:00:00;61.0000000;157694600
SBER;D;20150330;00:00:00;63.0100000;121542470
SBER;D;20150331;00:00:00;62.8800000;113629130
